wavelength,intensity
901.0198689728451,21373
904.9634728266626,23606
908.9028621577714,25559
912.8380369661718,27952
916.7689972518638,30243
922.003721708573,34619
925.9248481079452,38324
929.8417599846088,43231
933.7544573385638,48474
937.6629401698106,53162
941.5672084783487,57590
945.4672622641783,60995
949.3631015272995,63766
953.254726267712,65735
957.1421364854161,67620
961.0253321804119,69612
964.904313352699,71763
968.7790800022777,73914
972.6496321291479,75752
976.5159697333096,78372
980.3780928147628,80836
984.2360013735074,82083
988.0896954095435,84437
993.2213982000453,87121
997.0652583497616,88810
1000.9049039767697,90339
1004.740335081069,91829
1008.5715516626599,93027
1012.3985537215423,94109
1016.2213412577162,95379
1020.0399142711816,95988
1023.8542727619385,97345
1027.664416729987,99060
1031.470346175327,99225
1035.2720610979584,100504
1039.0695614978813,101181
1042.8628473750957,101487
1046.6519187296017,101838
1050.4367755613991,102551
1054.2174178704881,102175
1057.9938456568686,102540
1063.022526781163,102660
1066.7891206812235,102395
1070.5515000585756,102788
1074.3096649132192,103242
1078.0636152451543,102549
1081.8133510543812,103167
1085.5588723408991,103790
1089.300179104709,104176
1093.0372713458103,104467
1096.770149064203,104731
1100.498812259887,105283
1104.223260932863,105549
1107.94349508313,105942
1111.6595147106887,106410
1115.371319815539,106705
1119.0789103976808,106713
1122.7822864571142,106620
1126.4814479938389,106061
1131.4071074519252,104073
1135.0964351023304,101361
1138.7815482300266,98528
1142.4624468350146,95140
1146.139130917294,92435
1149.8116004768651,89884
1153.4798555137277,87714
1157.1438960278815,86717
1160.803722019327,86104
1164.4593334880642,85637
1168.1107304340926,85553
1171.7579128574125,85975
1175.400880758024,86451
1179.039634135927,86271
1182.6741729911216,87071
1186.3044973236076,87862
1189.9306071333854,88700
1193.5525024204544,90129
1198.375140212333,91823
1201.9872016130823,93102
1205.595048491123,95166
1209.1986808464553,96876
1212.798098679079,98843
1216.3933019889944,100907
1219.984290776201,102834
1223.5710650406993,105067
1227.153624782489,107050
1230.7319700015703,109099
1234.306100697943,110797
1237.8760168716074,112788
1241.4417185225632,114725
1245.0032056508105,116489
1248.5604782563494,118368
1252.1135363391795,119723
1255.6623798993014,121095
1260.387615388584,122020
1263.926625062386,123122
1267.4614202134794,123932
1270.9920008418644,124319
1274.518366947541,124236
1278.040518530509,123928
1281.5584555907685,124303
1285.0721781283196,124211
1288.5816861431622,123495
1292.0869796352963,122998
1295.588058604722,122111
1299.0849230514389,120780
1302.5775729754473,119261
1306.0660083767475,117648
1309.5502292553392,115379
1313.0302356112222,113013
1316.5060274443968,110424
1319.977604754863,107328
1324.5998185779379,103215
1328.0615620020842,100120
1331.5190909035218,97029
1334.9724052822512,93555
1338.421505138272,90514
1341.8663904715843,87319
1345.307061282188,84313
1348.7435175700834,81707
1352.1757593352704,78393
1355.6037865777487,76415
1359.0275992975185,73998
1362.4471974945798,71473
1365.8625811689326,68816
1369.2737503205772,65491
1372.6807049495128,62207
1376.0834450557404,58100
1379.481970639259,53841
1382.8762817000695,49148
1387.3954738569369,43190
1390.7799510314273,38955
1394.1602136832093,35482
1397.536261812283,32640
1400.9080954186481,30534
1404.2757145023047,29001
1407.6391190632528,27456
1410.9983091014924,26266
1414.3532846170235,26051
1417.7040456098462,25233
1421.0505920799603,24632
1424.392924027366,24566
1427.731041452063,24137
1431.0649443540517,24020
1434.394632733332,23745
1437.7201065899035,23718
1441.0413659237665,23743
1444.3584107349213,23674
1448.774581225581,23392
1452.0817921504158,23383
1455.3847885525422,22679
1458.68357043196,22790
1461.9781377886695,22885
1465.2684906226702,22863
1468.5546289339627,22773
1471.8365527225467,22644
1475.114261988422,22805
1478.387756731589,22346
1481.6570369520473,22264
1484.9221026497971,22297
1488.1829538248387,22255
1491.4395904771716,22104
1494.692012606796,22083
1497.9402202137119,22193
1501.1842132979193,21978
1504.4239918594183,22448
1508.7371406838704,22025
1511.9670853590496,22009
1515.1928155115202,22196
1518.4143311412822,22130
1521.6316322483358,22332
1524.844718832681,22286
1528.0535908943177,22237
1531.2582484332459,22153
1534.4586914494655,21981
1537.654919942977,21988
1540.8469339137796,22015
1544.0347333618736,22446
1547.2183182872593,22236
1550.3976886899366,21882
1553.5728445699053,21613
1556.7437859271654,21539
1559.9105127617172,21586
1563.0730250735605,21431
1567.283152231805,21289
1570.4358306573283,21179
1573.5842945601432,21100
1576.7285439402497,21013
1579.8685787976476,20809
1583.004399132337,20366
1586.1360049443178,20266
1589.2633962335904,20216
1592.3865730001544,19611
1595.50553524401,19742
1598.6202829651568,19697
1601.7308161635954,19364
1604.8371348393252,19309
1607.9392389923466,18889
1611.0371286226598,18753
1614.1308037302642,18569
1617.2202643151602,18087
1621.3329891708083,17518
1624.4126158693846,17299
1627.4880280452523,17102
1630.5592256984114,16486
1633.6262088288622,16521
1636.6889774366043,15992
1639.7475315216382,15417
1642.8018710839633,15142
1645.8519961235802,14929
1648.8979066404884,14963
1651.939602634688,14170
1654.9770841061793,13480
1658.010351054962,12598
1661.0394034810363,12328
1664.064241384402,11681
1667.0848647650594,11110
1670.1012736230082,10147
1673.1134679582485,9030
1677.123171147689,7577
1680.1255315966096,6617
1683.1236775228215,5584
1686.117608926325,4851
1689.1073258071199,4113
1692.0928281652064,3338
1695.0741160005844,2638
1698.0511893132539,2424
1701.024048103215,2201
